
                                                                     Lakók Listája                                                                    
                                                                 ====================                                                                 
                                                                                                                                                      
                                                                                                                                                      
                      Egészség-                        Személy-                                                                                       
                     biztosítási    Születési         igazolvány  Tartózkodás   Tartózkodás                                                           
        Neve            szám          dátum      Neme    szám       kezdete        vége             Ország                                            
-------------------- ----------- --------------- ---- ---------- ------------- ------------- --------------------                                     
Alease Boyer         541706019   1992-09-09      n    204453CA   2006-09-22    2012-11-14    Solomon Islands                                          
                                                                                                                                                      
                                                                                                                                                      
Jessie Frye          952134827   1992-10-02      f    095651HA   1998-06-11    2011-06-19    Guinea-Bissau                                            
                                                                                                                                                      
                                                                                                                                                      
Devon Dunn           160493949   1999-01-07      f    018057GA   2000-08-10    1998-05-23    Kuwait                                                   
                                                                                                                                                      
                                                                                                                                                      
Woodrow Bates        490833657   2000-02-17      n    277786DA   2002-09-05    2015-01-31    Nepal                                                    
                                                                                                                                                      
                                                                                                                                                      
Leo Greer            294386949   1992-08-28      f    448656GA   1997-02-12    1989-04-29    Indonesia                                                
                                                                                                                                                      
                                                                                                                                                      
Rae Goff             470591241   2000-10-15      f    142285FA   1996-07-30    1994-06-04    Kenya                                                    
                                                                                                                                                      
                                                                                                                                                      
Cyrus Hebert         103516159   1996-10-23      f    499802CA   1999-11-22    1994-01-26    El Salvador                                              
                                                                                                                                                      
                                                                                                                                                      
Ehtel Moon           074530611   1993-02-16      n    719994GA   1999-01-15    2005-10-16    Australia                                                
                                                                                                                                                      
                                                                                                                                                      
Emil Reilly          686710652   2000-01-07      f    096963GA   1996-11-23    1992-09-17    Uruguay                                                  
                                                                                                                                                      
                                                                                                                                                      
Kelly Harper         689145145   1998-10-07      n    610406HA   2010-05-04    2002-12-24    Haiti                                                    
                                                                                                                                                      
                                                                                                                                                      
Rex Dale             083871367   1995-04-25      f    416485FA   2013-03-29    1992-11-28    Papua New Guinea                                         
                                                                                                                                                      
                                                                                                                                                      
Shanita Harrington   886430197   1999-04-14      n    378574LA   2002-11-25    2002-08-06    Sao Tome and Princip                                     
                                                                                             e                                                        
                                                                                                                                                      
Willis Roman         326817161   1999-03-24      n    936144HA   2002-02-18    2008-03-09    Gabon                                                    
                                                                                                                                                      
                                                                                                                                                      
Mariam Camacho       860198127   1995-02-18      f    975065DA   2009-10-23    1991-02-08    Malta                                                    
                                                                                                                                                      
                                                                                                                                                      
Cyrus Hess           931677615   1995-10-11      f    200520JA   1998-10-20    2004-12-17    Bosnia and Herzegovi                                     
                                                                                             na                                                       
                                                                                                                                                      
Corina Head          827416495   1995-10-22      n    959692HA   1998-09-01    2001-04-24    Turkmenistan                                             
                                                                                                                                                      
                                                                                                                                                      
Marco Cantrell       778512315   2005-02-22      f    958646JA   1996-12-13    2001-04-10    Japan                                                    
                                                                                                                                                      
                                                                                                                                                      
Darin Preston        035552095   1990-04-09      f    486347JA   2012-04-17    2008-04-24    Sweden                                                   
                                                                                                                                                      
                                                                                                                                                      
Jeffry Spencer       457369261   1989-11-02      n    087696KA   2013-02-20    2009-01-19    El Salvador                                              
                                                                                                                                                      
                                                                                                                                                      
Liza Winters         565402276   1992-01-19      f    062684BA   1998-07-11    2010-04-29    Georgia                                                  
                                                                                                                                                      
                                                                                                                                                      
Lynell Wyatt         460086010   1988-10-02      f    136207DA   2010-08-13    1989-02-25    Congo                                                    
                                                                                                                                                      
                                                                                                                                                      
Marcelino Carroll    051884531   1997-05-16      n    562774JA   2006-02-13    1991-10-01    Cuba                                                     
                                                                                                                                                      
                                                                                                                                                      
Rodolfo Hamilton     402222458   1990-04-14      f    809327DA   1999-11-11    1991-08-27    Israel                                                   
                                                                                                                                                      
                                                                                                                                                      
Colton Ramos         975432346   2003-05-09      n    342083KA   2011-11-12    1998-04-13    Germany                                                  
                                                                                                                                                      
                                                                                                                                                      
Natividad Hudson     467581788   2000-06-28      n    259055DA   2009-08-03    1995-09-15    United States                                            
                                                                                                                                                      
                                                                                                                                                      
Marylyn Johnston     533071450   1993-02-02      f    866971HA   2004-08-22    2010-07-22    Palau                                                    
                                                                                                                                                      
                                                                                                                                                      
Assunta Holman       214782455   1988-04-29      f    284700GA   2004-10-16    2014-05-13    Nauru                                                    
                                                                                                                                                      
                                                                                                                                                      
Dawna Blackburn      005279993   1994-04-20      f    409726JA   1999-02-23    1998-11-27    Romania                                                  
                                                                                                                                                      
                                                                                                                                                      
